,WBAN,NAME,STATE/COUNTRY ID,Latitude,Longitude
124,11606,WILLEMSTAD,NU,12.18333333,-68.96666667
125,20501,CHRISTMAS ISLAND/AAF,NZ,1.983333333,-157.41666669999995
126,32501,MASIRAH ISLAND,OM,20.65,58.83333333
127,31501,SALALAH,OM,17.05,54.06666667
128,61502,BORA BORA/AAF,PF,-16.45,-151.7333333
129,41207,CLARK,PH,15.18333333,120.5
130,41204,MANILA/AAF,PH,14.5,121.06666670000001
131,42401,IWO JIMA/AB,PI,24.78333333,141.2666667
132,40601,KWAJALEIN/AFB,PI,8.716666667,167.7833333
133,20602,PALMYRA ISLAND/LINE ISLANDS,PI,5.8833333329999995,-162.05
134,32603,BHOLARI,PK,25.31666667,68.18333333
135,32602,JIWANI,PK,25.06666667,61.8
136,32601,KARACHI,PK,24.9,67.25
137,10701,BALBOA/ALBROOK,PM,8.966666667,-79.5
138,10804,DAVID,PM,8.383333333,-82.33333333
139,10718,FORT KOBBE,PM,8.916666667000001,-79.63333333
140,10705,HOWARD,PM,8.916666667000001,-79.65
141,10704,JAQUE,PM,7.5,-78.01666667
142,10802,POCRI,PM,7.733333332999999,-80.0
143,10703,REY ISLAND,PM,8.233333333,-78.08333333
144,10803,RIO HATO,PM,8.366666667,-80.0
145,15605,KUUJJAUQ/AIRPORT,PQ,58.1,-68.03333333
146,15604,MINGAN,PQ,50.28333333,-64.01666667
147,50802,TALARA,PR,-4.533333333,-81.01666667
148,11101,DAKAR/EKNES FIELD,SG,14.71666667,-17.01666667
149,11103,DAKAR/MALLARD FIELD,SG,14.75,-17.05
150,80510,BANIKA/AAF,SO,-9.066666667,159.0166667
151,80504,MUNDA/AAF,SO,-8.333333332999999,157.0166667
152,34018,ISTRES,SP,43.5,4.083333333
153,11610,WALLER/BWI,TD,10.61666667,-61.01666667
154,12702,SOUTH CAICOS ISLAND,TI,21.48333333,-71.05
155,62701,TONGATABU ISLAND,TO,-21.25,-175.0
156,33109,EL AQUINA,TS,36.85,10.01666667
157,33121,EL DJEM,TS,35.33333333,10.06666667
158,33003,SISI AHMED,TS,37.2,9.083333332999999
159,33307,ADANA,TU,36.98333333,35.01666667
160,15027,WARRINGTON,UK,53.38333333,-2.05
